,"icon01_nx_[12, 1]","icon01_ny_[12, 1]","icon02_nx_[12, 1]","icon02_ny_[12, 1]","icon03_nx_[12, 1]","icon03_ny_[12, 1]","icon04_nx_[12, 1]","icon04_ny_[12, 1]","icon05_nx_[12, 1]","icon05_ny_[12, 1]","icon06_nx_[12, 1]","icon06_ny_[12, 1]","icon07_nx_[12, 1]","icon07_ny_[12, 1]","icon08_nx_[12, 1]","icon08_ny_[12, 1]","icon11_nx_[12, 1]","icon11_ny_[12, 1]","icon15_nx_[12, 1]","icon15_ny_[12, 1]",cluster_label,date
121,-0.43236299,-0.117674216,1.935806644,-0.273131869,-0.370419541,0.071716653,0.099852631,0.383277221,0.150776994,0.842286597,-0.195981809,0.171985384,0.24011252,0.022132658,0.059324807,0.665737716,0.3835474,0.812186999,0.558296405,0.28432432,2,2013/03
122,-0.417172837,-0.080451427,1.682803453,-0.658037275,-0.160745637,0.055370003,0.09667764,0.391007719,0.239801246,0.759667692,-0.324600065,0.240572992,-0.027147003,0.005368486,0.626154053,0.623909524,0.457941793,0.691725347,0.52698228,-0.065648346,2,2013/04
123,-0.408706195,0.0301162,1.629388901,-0.965928704,-0.120529086,0.254920593,-0.217272924,0.442198544,0.331191179,0.642154005,-0.234392973,0.322129111,-0.142629512,0.023967228,0.59988256,0.535938737,0.569875784,0.572351785,0.526110714,-0.23579521,1,2013/05
124,-0.173134326,0.071653392,0.882207725,-1.168199518,-0.110257057,0.232678015,-0.263154655,0.44309685,0.778864886,0.507230882,-0.263216909,0.351241836,-0.324724575,0.074892357,0.633998148,0.282097531,0.575789982,0.448878909,0.371345474,-0.25512778,1,2013/06
125,-0.111315387,0.072235393,0.591851701,-1.276198747,-0.111128623,0.182119801,-0.267014447,0.449587432,0.665499037,0.346117693,-0.22710917,0.366943224,-0.387601844,0.181335364,0.584381134,0.180955798,0.577035077,0.378988124,0.174496043,-0.331838104,1,2013/07
126,0.166651948,0.067794469,0.463295699,-1.389031119,-0.128933473,0.210093828,-0.159064759,0.459861023,0.621858477,0.250340495,0.091821772,0.344903081,-0.284881553,0.266838971,0.485396126,-0.004209234,0.597952663,0.181221494,0.196222941,-0.372122728,1,2013/08
127,0.227039028,0.008139319,0.063744892,-1.377403742,-0.152590268,0.224643865,-0.150100079,0.482622341,0.426814432,0.093351925,0.060569901,0.343966818,-0.207187659,0.29528113,0.499652457,-0.096038944,0.625157977,0.134092028,0.297947157,-0.567763786,1,2013/09
128,0.347252897,0.004065308,-0.096872292,-1.390460818,-0.102537471,0.221240421,-0.132544247,0.650694244,0.289791788,0.072804743,-0.05902142,0.356353327,0.032804295,0.296280654,0.466532945,-0.149178209,0.546779282,-0.094014591,0.414612506,-0.572862625,1,2013/10
129,0.386909155,-0.089725493,-0.781176198,-1.425039296,0.023590596,0.2179635,-0.018991634,0.673898389,-0.013326454,0.010024497,0.031994983,0.355075455,0.04394789,0.264675444,0.41492378,-0.27451096,0.222618943,-0.13472939,0.440012433,-0.691502359,1,2013/11
130,0.316748083,-0.215589637,-1.262093928,-1.005694587,0.033613606,0.208550259,0.030998908,0.629666278,-0.155018202,0.062885413,0.040150352,0.326279034,0.144862795,0.237371984,0.445304084,-0.32309543,-0.035302371,-0.144205892,0.492368654,-0.696462024,1,2013/12
